timestamp,strategy,symbol,side,order_type,quantity,price,status,order_id
2024-08-11 00:00:16,BbandsApproachUTStrategy,ATOMUSDT,SELL,MARKET,1538.17,5.201,placed,19908721342
2024-08-13 00:00:30,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,1133.69,5.071,closed,19908721342
2024-08-13 00:00:31,BbandsApproachUTStrategy,ETHUSDT,SELL,MARKET,0.754,2720.6,placed,8389765714893090736
2024-08-13 00:00:31,BbandsApproachUTStrategy,UNFIUSDT,SELL,MARKET,681.5,3.008,placed,6201255044
2024-08-13 00:00:31,BbandsApproachUTStrategy,SANDUSDT,SELL,MARKET,7789.0,0.2632,placed,16701299522
2024-08-14 00:00:18,BbandsApproachUTStrategy,SANDUSDT,BUY,MARKET,1630.0,0.2662,closed,16701299522
2024-08-14 00:00:19,BbandsApproachUTStrategy,UNFIUSDT,BUY,MARKET,142.2,3.032,closed,6201255044
2024-08-14 00:00:19,BbandsApproachUTStrategy,ETHUSDT,BUY,MARKET,0.147,2701.3,closed,8389765714893090736
2024-08-14 00:00:19,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,76.68,4.998,closed,19908721342
2024-08-14 00:00:19,BbandsApproachUTStrategy,LTCUSDT,SELL,MARKET,25.895,63.36,placed,31600577879
2024-08-15 00:00:17,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,4.069,64.04,closed,31600577879
2024-08-15 00:00:17,BbandsApproachUTStrategy,ETHUSDT,BUY,MARKET,0.082,2659.28,closed,8389765714893090736
2024-08-15 00:00:18,BbandsApproachUTStrategy,UNFIUSDT,BUY,MARKET,72.0,2.993,closed,6201255044
2024-08-15 00:00:18,BbandsApproachUTStrategy,SANDUSDT,BUY,MARKET,686.0,0.255,closed,16701299522
2024-08-15 00:00:18,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,34.45,4.765,closed,19908721342
2024-08-15 00:00:18,BbandsApproachUTStrategy,DOGEUSDT,SELL,MARKET,13662.0,0.10229,placed,49926259712
2024-08-16 00:00:19,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,3.049,65.24,closed,31600577879
2024-08-16 00:00:19,BbandsApproachUTStrategy,DOGEUSDT,BUY,MARKET,1416.0,0.10005,closed,49926259712
2024-08-16 00:00:19,BbandsApproachUTStrategy,UNFIUSDT,BUY,MARKET,48.3,2.928,closed,6201255044
2024-08-16 00:00:19,BbandsApproachUTStrategy,SANDUSDT,BUY,MARKET,512.0,0.2469,closed,16701299522
2024-08-16 00:00:20,BbandsApproachUTStrategy,ETHUSDT,BUY,MARKET,0.048,2568.05,closed,8389765714893090736
2024-08-16 00:00:20,BbandsApproachUTStrategy,ATOMUSDT,BUY,MARKET,21.4,4.503,closed,19908721342
2024-08-16 00:00:20,BbandsApproachUTStrategy,BTCUSDT,SELL,MARKET,0.021,57508.0,placed,396011039018
2024-08-17 00:00:15,BbandsApproachUTStrategy,LTCUSDT,BUY,MARKET,18.777,66.46,closed,31600577879
2024-08-17 00:00:15,BbandsApproachUTStrategy,ATOMUSDT,SELL,MARKET,38.99,4.55,placed,19908721342
2024-08-17 00:00:15,BbandsApproachUTStrategy,UNFIUSDT,SELL,MARKET,60.1,2.954,placed,6201255044
2024-08-17 00:00:15,BbandsApproachUTStrategy,ETHUSDT,SELL,MARKET,0.069,2591.06,placed,8389765714893090736
2024-08-17 00:00:15,BbandsApproachUTStrategy,BTCUSDT,SELL,MARKET,0.003,58851.6,placed,396011039018
2024-08-17 00:00:15,BbandsApproachUTStrategy,SANDUSDT,SELL,MARKET,734.0,0.2485,placed,16701299522
2024-08-17 00:00:16,BbandsApproachUTStrategy,DOGEUSDT,SELL,MARKET,1868.0,0.10027,placed,49926259712
